"Date","Price","Open","High","Low","Vol.","Change %"
"28-06-2023","18,901.20","18,840.80","18,926.05","18,795.75","700.21M","0.80%"
"27-06-2023","18,751.30","18,690.95","18,761.50","18,662.45","410.98M","0.64%"
"26-06-2023","18,632.75","18,600.65","18,654.95","18,578.05","333.20M","0.20%"
"23-06-2023","18,595.75","18,698.95","18,710.05","18,580.95","415.96M","-0.68%"
"22-06-2023","18,722.70","18,830.35","18,850.40","18,710.30","458.71M","-0.56%"
"21-06-2023","18,827.80","18,829.70","18,858.20","18,774.65","430.97M","0.18%"
"20-06-2023","18,794.60","18,736.30","18,816.40","18,651.85","394.05M","0.33%"
"19-06-2023","18,732.80","18,847.80","18,855.75","18,698.25","430.88M","-0.35%"
"16-06-2023","18,798.55","18,695.35","18,835.95","18,683.35","506.98M","0.78%"
"15-06-2023","18,653.60","18,727.30","18,757.45","18,633.65","485.89M","-0.28%"
"14-06-2023","18,705.25","18,700.25","18,719.50","18,644.75","489.26M","0.20%"
"13-06-2023","18,668.00","18,581.80","18,679.25","18,581.40","455.47M","0.66%"
"12-06-2023","18,545.80","18,537.00","18,570.20","18,498.30","422.94M","0.24%"
"09-06-2023","18,502.10","18,588.20","18,607.15","18,493.10","426.88M","-0.33%"
"08-06-2023","18,562.95","18,665.40","18,706.05","18,546.10","531.22M","-0.52%"
"07-06-2023","18,659.65","18,596.05","18,671.60","18,566.10","469.48M","0.71%"
"06-06-2023","18,527.85","18,525.35","18,550.65","18,459.80","418.12M","0.08%"
"05-06-2023","18,513.85","18,529.95","18,554.90","18,502.70","494.48M","0.31%"
"02-06-2023","18,457.00","18,469.25","18,492.05","18,402.70","600.19M","0.28%"
"01-06-2023","18,405.70","18,482.85","18,493.25","18,383.80","465.66M","-0.18%"
"31-05-2023","18,438.30","18,479.15","18,484.50","18,380.25","1.31B","-0.42%"
"30-05-2023","18,516.95","18,500.15","18,546.90","18,470.10","424.84M","0.14%"
"29-05-2023","18,490.25","18,512.50","18,532.25","18,472.60","472.16M","0.53%"
"26-05-2023","18,393.05","18,256.15","18,400.70","18,223.30","454.36M","0.99%"
"25-05-2023","18,213.60","18,158.30","18,230.35","18,102.15","543.66M","0.24%"
"24-05-2023","18,170.00","18,178.55","18,267.80","18,149.30","446.48M","-0.27%"
"23-05-2023","18,219.80","18,236.50","18,287.45","18,197.80","501.40M","0.21%"
"22-05-2023","18,180.90","18,065.65","18,199.50","18,040.45","572.35M","0.67%"
"19-05-2023","18,060.35","18,034.50","18,074.50","17,911.70","498.46M","0.41%"
"18-05-2023","17,985.75","18,156.75","18,165.65","17,964.35","489.49M","-0.39%"
"17-05-2023","18,056.70","18,178.60","18,186.75","17,991.85","433.25M","-0.58%"
"16-05-2023","18,162.25","18,291.60","18,291.70","18,141.70","495.62M","-0.52%"
"15-05-2023","18,258.10","18,202.85","18,317.70","18,157.90","412.00M","0.42%"
"12-05-2023","18,181.95","18,152.70","18,212.15","18,070.10","440.04M","0.04%"
"11-05-2023","18,174.25","18,218.80","18,242.35","18,146.65","440.36M","0.02%"
"10-05-2023","18,170.85","18,158.05","18,182.40","18,064.60","419.93M","0.31%"
"09-05-2023","18,114.05","18,154.85","18,198.85","18,078.20","530.88M","-0.02%"
"08-05-2023","18,118.50","17,984.55","18,137.00","17,966.25","486.56M","1.00%"
"05-05-2023","17,939.25","17,982.05","18,076.70","17,925.55","480.77M","-0.89%"
"04-05-2023","18,099.75","17,938.60","18,110.30","17,923.45","508.49M","0.88%"
"03-05-2023","17,941.10","17,958.15","17,971.25","17,895.35","451.63M","-0.27%"
"02-05-2023","17,989.30","17,964.35","18,020.60","17,943.50","533.63M","0.48%"
"28-04-2023","17,903.95","17,777.40","17,926.05","17,726.70","713.23M","0.92%"
"27-04-2023","17,739.95","17,646.45","17,755.15","17,631.70","465.25M","0.53%"
"26-04-2023","17,645.55","17,598.30","17,657.70","17,549.70","410.37M","0.26%"
"25-04-2023","17,600.05","17,582.20","17,633.40","17,546.80","628.55M","0.20%"
"24-04-2023","17,564.40","17,532.60","17,574.85","17,446.10","412.47M","0.63%"
"21-04-2023","17,455.25","17,476.10","17,493.20","17,388.55","453.37M","-0.03%"
"20-04-2023","17,459.85","17,476.05","17,515.50","17,422.20","354.37M","0.03%"
